                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2348,                 1.2611,                 1.4072,                 1.2659,                 1.3992,                 1.3668,                0.49103,                0.54874,                0.47037,                0.22597,                 1.7147,                 1.6506,                 1.6979,                 1.7272,                  1.819,                 1.6447,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.2552,                 1.2604,                 1.3993,                 1.3028,                 1.3755,                  1.373,                0.51112,                0.51948,                0.49791,                0.24338,                 1.6979,                 1.6172,                 1.6635,                 1.6947,                 1.7652,                 1.6093,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.2395,                 1.2451,                 1.4095,                 1.2954,                 1.3604,                 1.3832,                0.47305,                0.54562,                0.49606,                 0.2372,                 1.7382,                 1.5965,                  1.713,                 1.7295,                 1.7822,                 1.6421,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.2226,                 1.2262,                 1.3902,                 1.2562,                 1.3585,                 1.3596,                0.49575,                0.52265,                0.49389,                0.23485,                 1.7261,                 1.5996,                 1.7106,                 1.7114,                 1.8201,                  1.646,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.2331,                 1.1877,                 1.3962,                  1.285,                 1.2426,                 1.3916,                0.50499,                0.55006,                0.51612,                0.24684,                 1.7231,                 1.5992,                 1.7141,                 1.7209,                 1.7628,                 1.6596,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.1811,                 1.1387,                 1.3725,                 1.2528,                 1.1677,                 1.3737,                0.47734,                0.55294,                0.50413,                0.24255,                 1.7123,                 1.5932,                 1.7026,                 1.7212,                  1.757,                 1.6287,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.1748,                 1.1168,                 1.3676,                 1.2163,                 1.1706,                 1.3686,                 0.5112,                0.52744,                0.50881,                0.25069,                 1.7356,                 1.5624,                 1.7291,                  1.703,                 1.7752,                 1.6343,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.1636,                 1.0981,                 1.3655,                 1.2275,                 1.1546,                  1.368,                0.52351,                0.53479,                0.50458,                0.24397,                 1.7348,                 1.5752,                 1.7262,                 1.7367,                 1.7622,                 1.6741,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.1621,                 1.1068,                 1.3623,                 1.2166,                 1.1567,                 1.3636,                0.51009,                0.53459,                0.50692,                0.24739,                 1.7448,                 1.5673,                 1.7376,                 1.7155,                 1.7797,                 1.6584,             0.00013219,             0.00013219,             0.00013219
                     96,                   1.11,                 1.0008,                 1.3132,                 1.1708,                 1.0156,                 1.3215,                0.52936,                0.52636,                 0.5071,                0.24669,                 1.7557,                 1.5723,                 1.7551,                 1.7208,                   1.79,                 1.6657,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.1384,                 1.0868,                 1.3479,                 1.1684,                 1.0863,                 1.3301,                0.52487,                0.53245,                0.51751,                0.25008,                 1.7582,                 1.5732,                 1.7644,                 1.7355,                 1.7591,                 1.6925,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.1737,                 1.1023,                 1.3871,                 1.1905,                 1.0894,                 1.3605,                0.55637,                0.49059,                0.49517,                0.24097,                 1.7718,                 1.5848,                 1.7823,                 1.7399,                 1.7863,                 1.6881,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.1501,                 1.0361,                 1.3552,                 1.2161,                 1.0544,                 1.3764,                0.51723,                0.51646,                0.48393,                 0.2389,                 1.7678,                 1.6008,                 1.7768,                 1.7242,                 1.8038,                 1.6755,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.1428,                0.98843,                 1.3291,                 1.2004,                 1.0295,                 1.3344,                0.54188,                0.48323,                0.49745,                0.24737,                 1.7566,                 1.5712,                 1.7635,                 1.7074,                 1.8078,                 1.6583,             4.9677e-05,             4.9677e-05,             4.9677e-05
